Run,accuracy,f1_macro,f1_weighted,precision_macro,recall_macro
Weighted CE,0.5866666666666667,0.46366269862453074,0.5869080114118284,0.4727886351149831,0.46394104976272155
Focal Loss,0.6133333333333333,0.4584309280353217,0.6033886802195392,0.4792645456198118,0.4504006980886238
Focal Loss + EDA,0.6366666666666667,0.4248065755382829,0.6090005658298341,0.446547048545475,0.4267213120240984
Weighted CE + EDA,0.6166666666666667,0.4282990195239586,0.5983109501422738,0.4295867012203926,0.43080160656012045
